date,index
2026-01-07,100.0
2026-01-08,99.43
2026-01-09,108.81
2026-01-10,123.53
2026-01-11,132.45
2026-01-12,134.05
2026-01-13,130.07
2026-01-14,131.05
2026-01-15,131.02
2026-01-16,124.46
2026-01-17,117.06
2026-01-18,110.7
2026-01-19,106.81
2026-01-20,105.51
2026-01-21,110.11
2026-01-22,119.05
2026-01-23,121.86
2026-01-24,127.09
2026-01-25,124.5
2026-01-26,122.34
2026-01-27,121.48
2026-01-28,126.96
2026-01-29,134.3
2026-01-30,138.87
2026-01-31,141.56
2026-02-01,143.89
2026-02-02,141.7
2026-02-03,141.31
2026-02-04,141.04
2026-02-05,146.62
2026-02-06,149.33
2026-02-07,150.98
2026-02-08,150.11
2026-02-09,147.31
2026-02-10,145.18
2026-02-11,152.97
2026-02-12,157.91
2026-02-13,159.33
2026-02-14,160.68
2026-02-15,158.28
2026-02-16,154.76
2026-02-17,152.69
2026-02-18,153.31
2026-02-19,155.54
2026-02-20,155.88
2026-02-21,156.87
2026-02-22,155.51
2026-02-23,153.44
2026-02-24,152.87
2026-02-25,153.9
2026-02-26,159.13
2026-02-27,160.42
2026-02-28,163.65
2026-03-01,165.76
2026-03-02,165.02
2026-03-03,164.14
2026-03-04,165.4
2026-03-05,165.62
2026-03-06,166.59
2026-03-07,167.21
2026-03-08,164.7
2026-03-09,163.83
2026-03-10,162.42
2026-03-11,164.15
2026-03-12,165.52
2026-03-13,165.44
2026-03-14,165.78
2026-03-15,164.11
2026-03-16,162.06
2026-03-17,161.76
2026-03-18,164.12
2026-03-19,161.59
2026-03-20,160.67
2026-03-21,159.4
2026-03-22,156.03
2026-03-23,152.2
